timestamp,id,num_task,target_distance,target_size,bubble_pointer,reaction_time,number_of_errors,start_x,start_y,click_x,click_y
2017-06-13T06:36:12,1,0,150,32,False,1660,0,400,400,498,516
2017-06-13T06:36:16,1,1,150,16,False,3685,0,400,400,252,442
2017-06-13T06:36:18,1,2,250,32,False,1352,0,400,400,217,231
2017-06-13T06:36:21,1,3,350,32,False,3186,0,400,400,602,673
2017-06-13T06:36:23,1,4,350,16,False,1173,0,400,400,754,403
2017-06-13T06:36:25,1,5,350,32,False,1329,0,400,400,664,613
2017-06-13T06:36:26,1,6,250,16,False,1108,0,400,400,649,377
2017-06-13T06:36:27,1,7,50,32,False,930,0,400,400,440,388
2017-06-13T06:36:28,1,8,50,16,False,1095,0,400,400,354,409
