timestamp,id,num_task,target_distance,target_size,bubble_pointer,reaction_time,number_of_errors,start_x,start_y,click_x,click_y
2017-06-13T18:59:14,2,0,275,32,True,960,0,400,400,727,461
2017-06-13T18:59:15,2,1,200,32,True,1010,0,400,400,237,381
2017-06-13T18:59:17,2,2,275,32,True,1440,0,400,400,516,607
2017-06-13T18:59:18,2,3,350,16,True,1508,0,400,400,151,640
2017-06-13T18:59:20,2,4,350,32,True,1260,0,400,400,272,67
2017-06-13T18:59:22,2,5,350,16,True,1668,0,400,400,395,759
2017-06-13T18:59:23,2,6,200,16,True,1380,0,400,400,610,381
2017-06-13T18:59:25,2,7,125,16,True,1407,0,400,400,293,327
2017-06-13T18:59:26,2,8,125,32,True,979,0,400,400,444,359
2017-06-13T18:59:27,2,9,275,16,True,1665,0,400,400,470,134
2017-06-13T18:59:29,2,10,125,32,True,1089,0,400,400,460,453
2017-06-13T18:59:30,2,11,125,16,True,1172,0,400,400,478,330
2017-06-13T18:59:31,2,12,200,32,True,1225,0,400,400,531,357
2017-06-13T18:59:33,2,13,350,32,True,1270,0,400,400,325,740
2017-06-13T18:59:34,2,14,275,16,True,1246,0,400,400,569,619
2017-06-13T18:59:36,2,15,200,16,True,1462,0,400,400,286,241
